COWBOY BEBOP (Original Motion Picture Soundtrack)	Seatbelts	https://lastfm.freetls.fastly.net/i/u/300x300/161f47abef085d50f8b405dc39342838.jpg	17.0	264359.0	1595451600000.0	"[""jazz"",""blues"",""soundtrack"",""anime"",""90s"",""masterpiece"",""motion picture soundtrack""]"
Julie and the Phantoms: Season 1 (From the Netflix Original Series)	Julie and the Phantoms Cast	https://lastfm.freetls.fastly.net/i/u/300x300/6cd24293bf265f3f04b0f06ee36367f5.jpg	15.0	103603.0	1599512400000.0	"[""ai""]"
The Music of Grand Theft Auto V, Vol. 1: Original Music	Various Artists	https://lastfm.freetls.fastly.net/i/u/300x300/6eb30776b72f4acb99a1c5620fd4544a.jpg	18.0	441908.0	1379966400000.0	"[""pop"",""hip hop"",""synthpop"",""soundtrack"",""video game soundtrack"",""pop rap"",""radio rap""]"
The Virgin Suicides (Original Motion Picture Score)	Air	https://lastfm.freetls.fastly.net/i/u/300x300/3b7b99453f573bc17fb35cc8fa24f560.jpg	13.0	368313.0	951426000000.0	"[""electronic"",""chillout"",""soundtrack"",""ambient"",""piano"",""electronica"",""instrumental"",""french"",""2000"",""downtempo"",""air"",""soundtrackgdchill"",""chill"",""film soundtrack"",""trip-hop"",""smooth""]"
Devilman Crybaby (Original Soundtrack)	Kensuke Ushio	https://lastfm.freetls.fastly.net/i/u/300x300/b051e5f8b7ad7c8df6e8c98071f31a9a.jpg	48.0	228363.0	1515531600000.0	"[""anime"",""soundtrack"",""synthwave"",""devilman crybaby"",""mtg black"",""devilman"",""devilman cry baby"",""rock"",""metal"",""futurepop"",""techno"",""jazz"",""breakcore"",""japanese"",""japanese jazz fusion"",""post black metal""]"
Black Panther: Wakanda Forever - Music From and Inspired By	Rihanna	https://lastfm.freetls.fastly.net/i/u/300x300/1aaa6819310191389df6a0daaf395862.jpg	20.0	306883.0	1668114000000.0	"[""soundtrack"",""marvel"",""afrobeats"",""hip hop"",""rnb"",""reggaeton"",""pop rap"",""afropop"",""trap""]"
Le Fabuleux Destin d'Amélie Poulain	Yann Tiersen	https://lastfm.freetls.fastly.net/i/u/300x300/f18a4f377d8b49329e65b0a66050ee84.jpg	20.0	415918.0	987969600000.0	"[""soundtrack"",""instrumental"",""piano"",""french"",""accordion"",""amelie"",""yann tiersen"",""ambient"",""30s"",""classical"",""crooner"",""beautiful"",""favourite albums"",""jazz"",""waltz"",""chanson""]"
Spider-Man: Across the Spider-Verse (Original Score)	Daniel Pemberton	https://lastfm.freetls.fastly.net/i/u/300x300/c6e858c3a5cbd1aa46a840797fb78f16.jpg	34.0	157670.0	1685653200000.0	"[""soundtrack"",""score"",""marvel"",""spiderverse""]"
"A Shape of Light ""A Silent Voice the Movie"" Original Soundtrack"	Kensuke Ushio	https://lastfm.freetls.fastly.net/i/u/300x300/532f31340b48a50fbbc61bf14f9cf865.jpg	61.0	103001.0		"[""soundtrack"",""ambient"",""j-pop"",""electronica"",""score"",""koe no katachi"",""japanese"",""instrumental"",""ost"",""anime"",""electronic"",""synthwave"",""techno"",""alternative"",""experimental""]"
Tron Legacy (Original Motion Picture Soundtrack)	Daft Punk	https://lastfm.freetls.fastly.net/i/u/300x300/348cb46c39624505a8c53f75b2b89189.jpg		102389.0		"[""soundtrack"",""electronic"",""ambient"",""electronica"",""french"",""amazing"",""2010"",""psychedelic"",""for taking mushrooms"",""music to read speculative lit to""]"
Spirited Away Soundtrack	久石譲	https://lastfm.freetls.fastly.net/i/u/300x300/a133c5c9b1153b4fdf1c68ebf8de79f8.jpg	21.0	3181.0	995400000000.0	"[""soundtrack"",""classical"",""summer"",""piano"",""movies"",""film soundtrack"",""studio ghibli"",""peak"",""grey sun""]"
Scott Pilgrim vs. the World (Original Motion Picture Soundtrack)	Various Artists	https://lastfm.freetls.fastly.net/i/u/300x300/6497c89b5ba34ce7cc58eeba600c9aeb.jpg	19.0	330227.0	1262293200000.0	"[""scott pilgrim"",""indie rock"",""soundtrack"",""indie"",""rock"",""canadian"",""classic rock"",""60s"",""guitar"",""mellow"",""alternative"",""garage rock"",""british"",""70s"",""the rolling stones"",""cool""]"
Bastion Original Soundtrack	Darren Korb	https://lastfm.freetls.fastly.net/i/u/300x300/5d09c4fc39d74593ae9db09dc3fc0131.jpg	22.0	133035.0	1312401600000.0	"[""soundtrack"",""trip-hop"",""2011"",""acoustic"",""video game music"",""bastion"",""ost"",""electronic"",""beautiful"",""short"",""video game"",""instrumental"",""sad"",""bastion ost"",""guitar"",""game soundtrack""]"
Glee: The Music, The Complete Season Four	Glee Cast	https://lastfm.freetls.fastly.net/i/u/300x300/294b7cdbe05970a9eeb66b36295f72f7.jpg	106.0	170966.0	1389556800000.0	"[""cover"",""glee"",""soundtrack"",""naya rivera"",""american"",""musical"",""00s"",""10s"",""the best season 4"",""pop"",""glee cast"",""makes me cry"",""darren criss"",""i am gleek"",""love"",""marley""]"
Victorious: Music From The Hit TV Show (feat. Victoria Justice)	Victorious Cast	https://lastfm.freetls.fastly.net/i/u/300x300/2868742466d70fab4e4400d720c703d5.jpg		249009.0		"[""soundtrack"",""american"",""teen pop"",""dance pop"",""nickelodeon""]"
The Fountain	Clint Mansell	https://lastfm.freetls.fastly.net/i/u/300x300/2ac4eb4ab2104bab932ea9279a1d7fe0.jpg	10.0	269279.0	1164056400000.0	"[""soundtrack"",""instrumental"",""melancholy"",""deepspaceone"",""piano"",""ambient"",""beautiful"",""the fountain"",""ost"",""classical"",""epic"",""masterpiece"",""melancholic"",""modern classical"",""2006"",""sweet sadness""]"
Soundtrack From Twin Peaks	Angelo Badalamenti	https://lastfm.freetls.fastly.net/i/u/300x300/f7e7847d57d2baeb78b0ab2d053ec0bb.jpg	11.0	240197.0	652046400000.0	"[""soundtrack"",""ambient"",""dark jazz"",""dream pop"",""jazz"",""instrumental"",""twin peaks"",""1990"",""chillout"",""lounge"",""crime jazz"",""late night"",""tv soundtrack"",""90s"",""angelo badalamenti"",""atmospheric""]"
