@RELATION soundtracks

@ATTRIBUTE Title STRING
@ATTRIBUTE Author STRING
@ATTRIBUTE Length NUMERIC
@ATTRIBUTE Listeners NUMERIC
@ATTRIBUTE Released NUMERIC
@ATTRIBUTE Cover STRING
@ATTRIBUTE Genre {pop, hip-hop, rock, rhythm-blues, soul, country, funk, folk, jazz, disco, instrumental, ai, blues, electronic, ambient, punk, opera, alternative, anime, soundtrack}
@ATTRIBUTE Single {0, 1}
@ATTRIBUTE Album {0, 1}
@ATTRIBUTE EP {0, 1}

@DATA
'Game of Thrones','Ramin Djawadi',0.4764096950474353,0.08484512456568345,0.5714285714286689,../files/images/791a10ab2380426493ac00f5d791ed99.jpg,instrumental,0,1,0
'Succession: Season 1 (HBO Original Series Soundtrack)','Nicholas Britell',0.4569554282116728,0.09898795002587418,0.5714285714286689,../files/images/f3632f908484dddd409c248761ce4944.jpg,instrumental,0,1,0
'Music For The Motion Picture Into The Wild','Eddie Vedder',0.30370731968477993,0.3318466770163377,0.5714285714286689,../files/images/c12f86cf48dc4deabaf260667102c8f0.jpg,rock,0,1,0
Inception,'Hans Zimmer',0.34667125213849165,0.12927700155245064,0.5714285714286689,../files/images/899ae404dc224d70bc8e6a5224c803f4.jpg,instrumental,0,1,0
Inception,'Hans Zimmer',0.34667125213849165,0.12927700155245064,0.5714285714286689,../files/images/899ae404dc224d70bc8e6a5224c803f4.jpg,instrumental,0,1,0
'Blade Runner 2049 (Original Motion Picture Soundtrack)','Hans Zimmer',0.44269551713242217,0.10265542988097878,0.5714285714286689,../files/images/a9ba49094731ed61f86bbc8110cc7782.jpg,rock,0,1,0
'Amelie From Montmartre (Original SoundTrack)','Yann Tiersen',0.44996810983769053,0.15685665705625784,0.5714285714286689,../files/images/5cf2e7a7d9f84a6980c545116390206b.jpg,jazz,0,1,0
'Ori and the Blind Forest (Original Soundtrack)','Gareth Coker',0.4939471663018722,0.09934353515191839,0.5714285714286689,../files/images/d6bcaf1ee4cf4726c771d463ff3e9206.jpg,instrumental,0,1,0
'The Lion King','Various Artists',0.31920872555695406,0.25529163894433354,0.5714285714286689,../files/images/3d59f9fcc45fda1afcf11eb0cfebbcbb.jpg,pop,0,1,0
'Requiem for a Dream','Clint Mansell',0.49942925366626595,0.1781170991350632,0.5714285714286689,../files/images/90d32c032c074f82a811ff482baa56f4.jpg,instrumental,0,1,0
'Game of Thrones (Music from the HBO® Series - Season 6)','Ramin Djawadi',0.4569554282116728,0.13131366895837954,0.5714285714286689,../files/images/59a2ee4345a44eb360ae67225eb58dbd.jpg,instrumental,0,1,0
'The Last of Us Part II (Original Soundtrack)','Gustavo Santaolalla',0.39144386796297204,0.0613920307533082,0.5714285714286689,../files/images/eee9c2ce8e7a1cceef8f696b152a47ee.jpg,folk,0,1,0
'VA-11 Hall-A (Original Soundtrack: Second Round)',Garoad,0.550680902835716,0.06490648332963703,0.5714285714286689,../files/images/15f8bb771b9b8ef28efdf534cd8774c9.jpg,pop,0,1,0
'Cars (Original Motion Picture Soundtrack)','Various Artists',0.37046037472640414,0.2196007984031936,0.5714285714286689,../files/images/42e4e16066ce552d967625a114604c98.jpg,rock,0,1,0
'Whiplash (Original Motion Picture Soundtrack)','Justin Hurwitz',0.44269551713242217,0.15316552081023138,0.5714285714286689,../files/images/d9e383b57e0a6cd5d7cb665a8b7f9d37.jpg,jazz,0,1,0
'Transistor Original Soundtrack','Darren Korb',0.43511336087086083,0.07745250240260221,0.5714285714286689,../files/images/37e32827de664f2fcfc847a69aecbc11.jpg,rock,0,1,0
'Her (Original Score)','Arcade Fire',0.33346863663620474,0.128953943963924,0.5714285714286689,../files/images/5acab529b57135ad4e1bbb0a11839b0c.jpg,rock,0,1,0
'The Hunger Games: Songs From District 12 and Beyond','Various Artists',0.37046037472640414,0.1994647741553929,0.5714285714286689,../files/images/cafb18699afe3c3f6c6f5de04ed1c452.jpg,pop,0,1,0
'The Lord of the Rings: The Fellowship of the Ring - The Complete Recordings','Howard Shore',0.5198118904080746,0.020778443113772454,0.5714285714286689,../files/images/793df2135a742aefbe54fb9d6da6aaa4.jpg,instrumental,0,1,0
'Moulin Rouge','Various Artists',0.3589625931125973,0.3223198048347749,0.5714285714286689,../files/images/b5957e840cb29a02d9f6420a8ed1d249.jpg,pop,0,1,0
'Doki Doki Literature Club! (Original Soundtrack)','Dan Salvato',0.3589625931125973,0.09468174761587936,0.5714285714286689,../files/images/569788d5062b8e51e6f5e83c9f7e606f.jpg,instrumental,0,1,0
'Dune: Part Two (Original Motion Picture Soundtrack)','Hans Zimmer',0.44996810983769053,0.06108819398240556,0.5714285714286689,../files/images/5fe26b8576576fac9e6e72bd7bc786da.jpg,soundtrack,0,1,0
'Rocketman (Music from the Motion Picture)','Elton John',0.37046037472640414,0.0731300362238486,0.5714285714286689,../files/images/e438c6ff31038e6aa4a4c6e1a74f29ac.jpg,ai,0,1,0
'Jack Johnson and Friends: Sing-A-Longs and Lullabies for the Film Curious George','Jack Johnson',0.34667125213849165,0.19318769867672064,0.5714285714286689,../files/images/b83906de282c8b33062e847dd5d2fc87.jpg,pop,0,1,0
'Plants Vs. Zombies (Original Video Game Soundtrack)','Laura Shigihara',0.4764096950474353,0.10957640275005544,0.5714285714286689,../files/images/cc562bb54c531bedd696d5a7a3cfb0b6.jpg,instrumental,0,1,0
'Amore Mio Aiutami (Original Motion Picture Soundtrack)','Piero Piccioni',0.46367901036899006,0.15444592296887705,0.5714285714286689,../files/images/6e4bd3dee94b577e51120f455f5aaa6c.jpg,jazz,0,1,0
Archangel,'Two Steps from Hell',0.4569554282116728,0.07489909070747394,0.5714285714286689,../files/images/2a9faddac036445295a96d8a07312e5f.jpg,rock,0,1,0
'Interstellar: Original Motion Picture Soundtrack','Hans Zimmer',0.37046037472640414,0.09943889997782214,0.5714285714286689,../files/images/96e822af96e594b3f19ef4900c36cd5e.jpg,instrumental,0,1,0
'Poison (Hazbin Hotel Original Soundtrack)','Blake Roman',0.39144386796297204,0.06689140238042433,0.5714285714286689,../files/images/daeb6e80e5ab1237d55f5a566230b651.jpg,soundtrack,0,1,0
'The Music of Red Dead Redemption 2 (Original Soundtrack)','Various Artists',0.33346863663620474,0.09037776299253344,0.5714285714286689,../files/images/c238c4d8ac5ac29e4bf7bea578f6e1cd.jpg,soul,0,1,0
'Top Gun - Motion Picture Soundtrack (Special Expanded Edition)','Various Artists',0.3589625931125973,0.22857692023360687,0.5714285714286689,../files/images/fc280e7442e0a1ffe22725051c6c7da8.jpg,pop,0,1,0
Amélie,'Yann Tiersen',0.41021424228204734,0.07585717453980927,0.5714285714286689,../files/images/d0feb4b0c2c349c0b23ff82ecf69dad7.jpg,jazz,0,1,0
'Fifty Shades Darker (Original Motion Picture Soundtrack)','Various Artists',0.4010761479048362,0.238006209802617,0.5714285714286689,../files/images/56ade195b3bb325fedba9096bfcd50ed.jpg,pop,0,1,0
'EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES)',Labrinth,0.44269551713242217,0.13664448880017743,0.5714285714286689,../files/images/5db9aa1815c8119dc01538a59ad42786.jpg,pop,0,1,0
'Pleasantville -Music From The Motion Picture','Various Artists',0.39144386796297204,0.17726029422636208,0.5714285714286689,../files/images/e0101b457e36488e9835825a5020c360.jpg,soundtrack,0,1,0
'Genshin Impact - Forest of Jnana and Vidya (Original Game Soundtrack)',HOYO-MiX,0.6969416929886267,0.0262238485990981,0.5714285714286689,../files/images/f67361efaba1ae0baa8a3611274a676d.jpg,folk,0,1,0
